Production_Budget_INR_Cr,Marketing_Budget_INR_Cr,Release_Month,Popularity_Score,Runtime_Minutes,Star_Success_Factor,Genre,Primary_Language,Diaspora_Strength_Score,Origin,India_Gross_INR_Cr,International_Gross_INR_Cr
33.81,7.11,8,46,128,1,Action (Masala),Others,3,Indian,48.13,48.4
26.47,6.71,8,58,127,3,Sci-Fi/Action,Tamil,8,Indian,35.99,68.84
1012.17,249.63,9,61,115,2,Thriller,English,7,Hollywood,400.74,1948.21
174.98,46.23,7,77,102,7,Thriller,English,7,Hollywood,220.1,1017.11
273.34,75.59,8,68,130,4,Drama,English,4,Hollywood,274.74,690.04
253.37,15.19,2,58,136,5,Rom-Com,Hindi,0,Indian,299.12,317.81
17.8,2.98,5,63,96,3,Historical Epic,Hindi,3,Indian,139.0,41.31
125.38,8.11,9,69,123,6,Animated,Others,0,Indian,273.22,86.73
424.0,141.02,10,80,131,5,Thriller,English,4,Hollywood,391.41,3323.22
207.84,48.2,4,92,122,9,Action (Masala),English,8,Hollywood,576.59,2103.08
24.24,6.38,8,44,153,4,Historical Epic,Hindi,3,Indian,39.41,38.2
293.64,83.21,12,78,146,9,Fantasy/Adventure,English,5,Hollywood,767.75,2149.35
95.38,31.4,3,86,126,7,Thriller,Hindi,4,Indian,203.03,119.11
110.91,13.1,7,42,111,1,Historical Epic,Telugu,3,Indian,150.07,107.34
63.16,12.17,5,80,130,9,Thriller,Telugu,0,Indian,122.68,65.24
599.58,85.75,5,92,116,8,Sci-Fi/Action,English,5,Hollywood,1203.62,7422.92
36.92,10.52,10,54,166,3,Action (Masala),Hindi,3,Indian,133.38,77.23
485.14,18.03,7,66,142,5,Action (Masala),Telugu,4,Indian,562.41,883.39
182.24,34.74,6,48,154,2,Rom-Com,Hindi,3,Indian,170.92,185.77
25.85,2.88,7,63,132,3,Drama,Telugu,2,Indian,29.93,29.01
19.93,1.97,2,50,127,4,Animated,Hindi,6,Indian,42.67,29.76
35.51,4.78,12,60,146,5,Fantasy/Adventure,Tamil,3,Indian,60.2,73.08
21.23,0.5,8,47,86,4,Animated,Tamil,6,Indian,33.13,27.3
58.77,3.78,11,65,147,7,Historical Epic,Hindi,0,Indian,163.74,49.23
46.07,14.87,2,81,156,7,Animated,Tamil,7,Indian,106.31,110.47
51.18,7.83,4,57,132,4,Action (Masala),Hindi,3,Indian,139.88,54.9
22.99,5.4,1,67,111,6,Thriller,Hindi,3,Indian,47.71,43.64
1899.95,185.92,4,73,154,3,Fantasy/Adventure,English,5,Hollywood,1805.76,16002.59
1061.08,71.78,5,70,153,3,Animated,English,5,Hollywood,645.36,2286.46
9.06,1.02,11,38,159,3,Historical Epic,Hindi,3,Indian,16.04,77.38
25.89,7.94,7,83,152,6,Animated,Hindi,1,Indian,62.5,41.89
22.37,1.55,3,86,130,7,Sci-Fi/Action,English,5,Indian,65.65,75.28
44.59,14.22,4,42,157,4,Action (Masala),Others,5,Indian,86.95,60.74
58.57,0.5,2,67,112,5,Historical Epic,Hindi,1,Indian,89.1,61.87
38.3,11.32,10,71,118,6,Sci-Fi/Action,Others,4,Indian,165.77,82.19
133.5,35.56,1,53,130,1,Thriller,English,6,Hollywood,104.17,357.67
55.6,20.61,2,80,144,5,Fantasy/Adventure,Telugu,1,Indian,122.4,77.1
26.01,4.98,9,48,119,3,Fantasy/Adventure,Hindi,2,Indian,50.27,41.41
58.34,9.79,2,80,170,5,Sci-Fi/Action,Hindi,5,Indian,175.91,110.75
5.59,1.57,2,45,170,2,Animated,Tamil,5,Indian,8.75,10.41
29.21,4.73,5,45,141,5,Drama,Hindi,7,Indian,57.35,37.32
144.86,37.6,3,58,135,2,Drama,English,6,Hollywood,95.86,543.23
11.45,0.5,12,57,139,6,Thriller,Others,1,Indian,31.85,16.66
11.25,0.5,4,54,186,4,Animated,Hindi,10,Indian,19.26,23.39
249.28,63.1,5,79,149,7,Sci-Fi/Action,English,6,Indian,601.5,881.33
34.47,5.43,12,54,113,5,Action (Masala),Hindi,8,Indian,110.96,99.96
163.23,46.6,10,60,115,2,Horror/Thriller,English,2,Hollywood,108.17,361.88
36.12,4.71,7,71,137,6,Horror/Thriller,English,6,Hollywood,39.9,155.86
6.99,8.92,1,32,116,2,Historical Epic,Telugu,4,Indian,21.56,14.37
239.75,44.58,2,70,126,2,Action (Masala),English,6,Hollywood,167.15,1243.29
67.15,17.2,4,50,155,3,Drama,English,8,Hollywood,235.77,415.25
68.04,17.97,7,93,160,6,Historical Epic,Hindi,2,Indian,238.57,81.97
24.19,7.69,11,55,150,3,Superhero,English,3,Indian,59.61,75.31
139.04,5.9,8,48,99,2,Historical Epic,English,3,Hollywood,87.47,558.0
877.98,166.41,4,67,134,2,Historical Epic,English,9,Hollywood,1054.09,7916.52
28.55,13.87,11,40,123,1,Fantasy/Adventure,Telugu,3,Indian,39.04,48.72
32.12,6.67,9,53,164,5,Superhero,Others,4,Indian,81.71,58.91
639.28,211.78,11,96,159,10,Drama,English,7,Hollywood,1156.68,6326.04
25.06,0.5,9,71,100,6,Historical Epic,Tamil,1,Indian,54.13,29.6
28.11,8.57,7,48,142,5,Rom-Com,Telugu,2,Indian,47.56,35.97
9.28,0.5,1,56,148,2,Animated,English,3,Indian,10.13,18.04
411.74,93.96,6,80,163,7,Rom-Com,English,4,Hollywood,641.33,1563.64
110.08,42.19,8,74,120,3,Fantasy/Adventure,English,4,Hollywood,137.62,635.76
7.78,0.5,10,87,114,9,Action (Masala),Tamil,4,Indian,311.56,27.66
339.33,77.54,9,39,139,1,Superhero,Hindi,4,Indian,347.0,231.28
12.83,3.02,5,70,104,7,Animated,Telugu,0,Indian,43.42,20.39
111.93,11.67,1,59,159,3,Thriller,English,4,Hollywood,74.71,397.34
53.13,19.42,6,85,120,8,Superhero,Others,4,Indian,196.9,181.88
216.38,48.27,12,65,131,5,Animated,English,5,Hollywood,261.86,980.91
30.73,0.5,8,60,122,6,Sci-Fi/Action,Tamil,0,Indian,61.14,35.4
1394.27,423.3,5,79,116,7,Drama,English,3,Hollywood,2832.13,9728.35
785.54,187.06,2,75,115,5,Superhero,English,4,Hollywood,2766.06,3390.81
56.45,17.79,11,51,127,5,Horror/Thriller,Telugu,6,Indian,71.43,61.22
22.5,7.61,6,50,169,6,Drama,Others,3,Indian,35.66,21.89
26.89,10.8,6,69,135,9,Rom-Com,Tamil,5,Indian,75.08,44.29
8.85,0.9,9,48,157,1,Animated,Hindi,2,Indian,9.85,11.25
33.71,8.28,8,57,134,5,Action (Masala),Hindi,2,Indian,80.56,59.92
12.73,0.5,5,77,140,4,Drama,Hindi,3,Indian,29.96,22.16
12.59,0.5,1,70,147,7,Animated,Hindi,5,Indian,25.63,16.9
1385.45,316.43,7,95,121,8,Horror/Thriller,English,2,Hollywood,832.49,6552.57
23.37,5.2,3,73,85,9,Horror/Thriller,Hindi,6,Indian,46.29,38.4
24.87,7.12,9,49,145,4,Animated,Tamil,6,Indian,43.85,39.56
5.25,0.5,8,54,125,6,Drama,English,2,Indian,7.41,9.93
59.86,11.35,11,37,140,2,Drama,English,5,Hollywood,37.58,191.81
6.1,2.48,9,55,135,6,Fantasy/Adventure,Telugu,9,Indian,21.03,21.75
9.64,0.5,12,58,105,7,Drama,Hindi,4,Indian,24.75,14.68
95.96,16.56,1,65,114,4,Action (Masala),Telugu,0,Indian,193.08,72.84
57.86,15.04,5,52,129,1,Superhero,Hindi,2,Indian,152.86,104.71
16.49,5.35,10,64,153,6,Rom-Com,Hindi,3,Indian,52.93,30.35
137.92,47.38,10,72,160,8,Sci-Fi/Action,Tamil,4,Indian,428.38,222.38
11.26,1.88,10,57,109,7,Rom-Com,Hindi,10,Indian,32.61,30.5
1284.42,236.11,7,82,158,5,Thriller,English,1,Hollywood,724.45,1604.77
75.87,15.0,6,85,149,7,Fantasy/Adventure,English,4,Indian,177.87,185.14
15.08,0.9,12,71,133,6,Thriller,Telugu,0,Indian,50.39,15.92
26.18,11.11,3,50,105,1,Superhero,Hindi,2,Indian,52.3,43.33
8.38,1.83,11,54,135,5,Horror/Thriller,Hindi,4,Indian,13.85,8.35
125.33,31.36,5,80,116,5,Horror/Thriller,Hindi,4,Indian,173.78,104.12
22.51,6.46,3,59,153,5,Superhero,Hindi,1,Indian,71.47,37.87
101.16,19.66,2,68,176,7,Action (Masala),English,5,Hollywood,197.95,436.51
85.7,9.12,11,43,156,3,Sci-Fi/Action,Telugu,0,Indian,126.77,84.35
492.22,73.54,3,93,105,7,Superhero,English,8,Hollywood,1537.4,4067.84
6.16,1.12,3,62,129,6,Fantasy/Adventure,Tamil,6,Indian,20.17,13.32
20.66,0.75,11,63,160,5,Animated,Hindi,0,Indian,46.9,16.72
52.54,8.18,7,81,87,6,Fantasy/Adventure,English,4,Indian,138.79,105.01
620.36,138.09,11,59,121,4,Historical Epic,English,6,Hollywood,712.52,6119.94
206.55,35.94,10,64,130,4,Action (Masala),Tamil,0,Indian,432.95,250.6
1795.29,296.84,7,90,135,9,Drama,English,4,Hollywood,3186.74,17621.41
27.29,6.5,5,64,93,5,Historical Epic,English,5,Indian,77.85,107.49
16.15,4.11,8,73,133,9,Rom-Com,English,0,Indian,47.42,27.58
15.17,11.54,8,74,125,6,Superhero,Telugu,4,Indian,60.66,60.55
24.14,7.91,1,78,152,8,Rom-Com,Hindi,2,Indian,69.84,31.02
12.1,4.32,7,58,116,3,Sci-Fi/Action,Hindi,4,Indian,30.52,28.8
69.13,11.98,8,48,114,2,Action (Masala),Telugu,0,Indian,91.4,66.17
26.11,10.86,7,40,110,3,Sci-Fi/Action,English,0,Indian,51.5,46.29
470.78,103.87,10,69,125,6,Thriller,English,3,Hollywood,384.85,1149.32
96.52,21.8,11,70,126,5,Sci-Fi/Action,English,3,Indian,218.59,194.1
26.95,4.93,4,74,135,6,Sci-Fi/Action,English,3,Indian,79.85,72.82
8.88,0.5,4,90,116,10,Sci-Fi/Action,Others,0,Indian,34.83,12.65
849.06,224.86,5,61,132,5,Sci-Fi/Action,English,4,Hollywood,1075.76,5390.72
9.99,5.22,7,52,157,3,Horror/Thriller,Hindi,7,Indian,13.63,14.46
69.52,15.2,7,53,158,2,Sci-Fi/Action,Hindi,3,Indian,112.84,84.18
13.86,4.78,5,54,176,6,Animated,Hindi,7,Indian,39.37,34.82
8.39,0.5,1,45,172,4,Drama,Tamil,2,Indian,12.61,7.14
375.66,76.47,12,56,142,4,Sci-Fi/Action,English,6,Hollywood,455.34,2470.35
41.22,11.69,2,64,137,4,Fantasy/Adventure,English,7,Indian,112.53,119.91
26.14,4.33,11,49,146,5,Sci-Fi/Action,Hindi,0,Indian,72.94,31.41
258.26,65.89,1,62,109,3,Historical Epic,English,5,Hollywood,350.48,840.09
3.7,4.88,5,61,125,4,Horror/Thriller,Hindi,5,Indian,14.23,10.24
23.92,0.5,10,66,125,8,Sci-Fi/Action,Hindi,2,Indian,89.41,39.3
27.85,4.64,3,47,135,3,Historical Epic,Telugu,3,Indian,54.76,32.81
9.11,0.58,6,57,145,4,Historical Epic,Hindi,1,Indian,22.44,13.83
149.73,38.72,10,70,118,2,Thriller,Telugu,5,Indian,263.69,206.37
96.88,24.69,2,84,160,8,Rom-Com,English,7,Indian,193.65,193.72
21.43,4.78,8,91,145,7,Animated,Tamil,1,Indian,43.49,27.18
16.23,0.5,7,50,125,6,Action (Masala),Tamil,6,Indian,33.83,36.76
40.97,8.94,10,64,148,5,Horror/Thriller,Hindi,0,Indian,71.65,36.41
52.95,14.81,12,66,123,6,Fantasy/Adventure,English,0,Indian,170.38,80.41
49.28,15.08,7,47,140,4,Thriller,Hindi,0,Indian,72.16,33.35
2.61,0.5,12,58,89,4,Drama,Hindi,1,Indian,6.12,4.44
62.32,7.07,9,76,171,6,Sci-Fi/Action,Telugu,6,Indian,158.54,108.05
90.56,19.38,2,57,104,6,Sci-Fi/Action,Tamil,5,Indian,188.52,152.73
9.39,0.5,5,72,122,6,Horror/Thriller,Telugu,1,Indian,14.45,9.24
115.25,22.57,8,84,147,8,Thriller,English,3,Indian,212.31,148.87
118.99,47.69,12,46,109,3,Thriller,Hindi,0,Indian,261.11,104.93
80.13,11.46,5,78,130,7,Animated,Hindi,2,Indian,214.89,101.45
57.24,15.75,7,52,123,4,Action (Masala),Hindi,1,Indian,126.93,87.39
10.09,3.06,8,39,88,5,Rom-Com,Telugu,0,Indian,20.55,6.67
1206.86,326.67,8,71,119,1,Horror/Thriller,English,5,Hollywood,576.11,3030.28
15.83,1.66,8,59,96,7,Rom-Com,English,1,Indian,31.85,19.72
22.82,7.32,7,70,144,6,Sci-Fi/Action,Hindi,4,Indian,84.6,40.99
237.18,43.57,3,92,140,9,Sci-Fi/Action,English,4,Hollywood,378.89,1573.72
41.33,4.2,12,56,119,4,Sci-Fi/Action,Hindi,1,Indian,122.07,57.1
66.52,9.47,9,83,166,8,Animated,English,3,Indian,142.1,126.28
6.3,1.28,6,68,92,6,Thriller,Hindi,4,Indian,17.06,10.85
11.64,6.48,6,54,108,5,Animated,Hindi,3,Indian,28.19,19.65
77.81,9.27,9,74,130,9,Sci-Fi/Action,Hindi,4,Indian,294.03,161.19
37.46,3.48,1,50,148,5,Horror/Thriller,Telugu,5,Indian,41.66,30.7
144.83,18.87,12,69,85,4,Thriller,English,8,Hollywood,152.72,990.85
203.9,40.41,5,76,117,8,Superhero,English,7,Hollywood,819.11,1574.0
1170.76,214.75,7,93,121,6,Animated,English,7,Hollywood,1039.53,9443.51
1614.21,281.3,2,83,153,8,Action (Masala),English,3,Hollywood,4304.13,15476.9
228.51,55.36,6,94,144,9,Action (Masala),English,6,Hollywood,394.83,1630.12
13.86,9.13,2,61,136,5,Sci-Fi/Action,Others,4,Indian,50.51,36.39
18.64,0.56,11,54,127,6,Drama,English,7,Indian,32.78,35.91
44.28,2.88,7,61,125,6,Thriller,Hindi,4,Indian,82.24,55.18
98.79,21.02,9,66,150,3,Animated,English,2,Indian,152.12,152.56
10.02,0.5,12,51,134,6,Horror/Thriller,Tamil,2,Indian,16.78,9.18
23.75,2.7,9,78,132,6,Superhero,Others,2,Indian,83.79,38.28
20.65,4.23,1,50,114,5,Sci-Fi/Action,Telugu,8,Indian,43.86,49.37
62.22,13.55,2,82,118,5,Fantasy/Adventure,Others,2,Indian,132.42,48.01
90.02,20.97,8,78,138,5,Thriller,English,7,Indian,186.69,138.77
130.12,42.77,7,80,134,7,Animated,Hindi,2,Indian,308.27,81.49
53.27,10.59,8,65,159,7,Animated,Others,0,Indian,147.24,45.27
68.46,8.12,8,79,112,6,Animated,Hindi,3,Indian,162.21,102.19
3000.0,365.24,8,68,138,5,Fantasy/Adventure,English,8,Hollywood,1821.28,6740.51
12.69,2.6,8,48,105,3,Historical Epic,Others,4,Indian,21.6,22.0
317.61,45.35,8,78,124,6,Horror/Thriller,English,6,Hollywood,243.23,1035.52
23.26,0.5,12,54,110,1,Fantasy/Adventure,Hindi,2,Indian,49.78,43.28
209.17,29.66,12,44,131,1,Thriller,English,2,Hollywood,129.88,1050.8
12.25,1.8,9,66,148,4,Superhero,Hindi,0,Indian,42.76,22.67
48.41,8.02,11,61,111,4,Rom-Com,Telugu,7,Indian,85.84,88.23
126.95,27.49,1,59,148,6,Animated,Hindi,5,Indian,371.83,196.15
27.71,5.04,2,41,156,2,Superhero,Hindi,5,Indian,51.87,54.26
6.38,3.17,5,76,154,8,Animated,Tamil,5,Indian,33.49,17.03
341.0,88.37,3,67,100,4,Rom-Com,English,5,Hollywood,210.02,1142.79
13.77,2.41,2,72,145,6,Animated,Hindi,6,Indian,34.25,24.75
202.47,29.93,8,38,140,2,Thriller,English,7,Hollywood,96.82,1180.68
30.53,4.09,6,54,139,4,Drama,Hindi,6,Indian,40.01,47.75
63.86,21.18,12,59,134,4,Animated,Others,1,Indian,139.4,78.0
32.12,10.07,1,69,160,8,Sci-Fi/Action,Others,2,Indian,76.87,52.03
230.51,41.79,2,83,137,8,Thriller,English,4,Hollywood,335.56,937.71
4.26,2.82,9,94,125,9,Sci-Fi/Action,Hindi,1,Indian,21.99,12.96
41.06,10.33,2,48,129,5,Thriller,Telugu,1,Indian,55.53,41.58
747.97,142.24,10,81,137,8,Sci-Fi/Action,English,4,Hollywood,1376.52,3650.18
8.43,0.5,9,34,143,4,Rom-Com,Telugu,6,Indian,9.19,12.28
1634.99,258.02,9,82,109,3,Sci-Fi/Action,English,5,Hollywood,1033.87,12269.2
327.72,61.67,1,60,140,4,Historical Epic,English,7,Hollywood,427.18,2280.85
53.6,5.19,5,63,133,7,Historical Epic,Others,1,Indian,137.83,84.55
217.14,67.32,7,92,138,9,Sci-Fi/Action,English,6,Indian,664.74,408.0
21.98,5.33,6,68,137,5,Thriller,Telugu,6,Indian,43.81,33.79
62.39,14.94,9,73,97,5,Sci-Fi/Action,Telugu,3,Indian,124.98,138.17
556.39,148.47,7,59,160,6,Rom-Com,English,6,Hollywood,877.63,1884.32
10.37,0.5,10,81,162,10,Animated,Telugu,7,Indian,28.7,23.26
304.25,83.56,12,66,120,4,Rom-Com,English,6,Hollywood,323.8,2414.37
26.78,6.12,3,75,125,5,Drama,Tamil,3,Indian,40.67,30.5
26.29,4.63,8,76,118,8,Horror/Thriller,Hindi,2,Indian,52.4,29.07
25.1,8.91,5,86,134,5,Historical Epic,Hindi,2,Indian,98.47,50.53
59.83,4.03,4,40,115,1,Historical Epic,English,4,Hollywood,44.79,249.76
186.46,13.9,6,56,161,2,Thriller,English,3,Hollywood,103.33,792.92
47.7,7.62,6,88,127,8,Superhero,English,2,Indian,195.75,141.13
139.64,26.66,11,79,152,10,Rom-Com,English,8,Hollywood,263.38,1032.74
46.89,8.04,12,64,145,5,Drama,Telugu,6,Indian,80.13,92.01
10.7,3.3,3,79,121,9,Drama,Tamil,2,Indian,27.62,14.84
166.27,16.43,7,92,148,8,Historical Epic,English,3,Hollywood,256.2,954.79
5.67,3.06,10,59,155,3,Historical Epic,Hindi,0,Indian,24.17,13.46
31.34,6.84,8,48,133,3,Fantasy/Adventure,Hindi,6,Indian,55.58,59.81
82.13,17.0,1,59,172,6,Horror/Thriller,Others,2,Indian,80.38,50.64
6.37,2.47,6,99,153,8,Thriller,English,3,Indian,17.7,14.5
44.14,6.17,1,81,137,6,Action (Masala),English,0,Indian,140.17,88.77
8.84,7.68,2,79,146,6,Superhero,Tamil,2,Indian,44.25,31.7
13.11,2.27,10,68,147,6,Rom-Com,Tamil,4,Indian,36.22,21.24
1634.99,304.7,5,76,143,7,Rom-Com,English,6,Hollywood,5384.4,21827.35
22.67,6.3,3,61,157,2,Rom-Com,Hindi,6,Indian,37.22,31.07
15.53,6.97,10,41,133,2,Superhero,Telugu,2,Indian,47.89,48.4
34.38,11.83,11,78,124,3,Historical Epic,Others,2,Indian,57.37,49.2
369.38,18.75,10,50,110,4,Horror/Thriller,English,3,Hollywood,159.67,822.86
248.93,35.6,3,69,166,6,Rom-Com,English,8,Hollywood,167.31,965.9
50.21,13.06,2,78,112,9,Drama,Telugu,0,Indian,131.79,50.65
18.34,0.61,7,44,153,5,Animated,Hindi,5,Indian,28.85,24.49
2.25,2.32,11,42,137,4,Animated,Telugu,0,Indian,6.52,3.65
188.58,31.85,1,60,124,8,Sci-Fi/Action,English,4,Indian,588.56,255.93
417.63,88.2,8,70,120,7,Horror/Thriller,English,6,Hollywood,222.1,1079.42
65.47,13.22,4,68,149,5,Sci-Fi/Action,Telugu,4,Indian,127.78,127.87
18.11,5.87,1,70,102,4,Rom-Com,Hindi,5,Indian,36.45,31.67
26.69,11.44,1,61,138,4,Thriller,Hindi,3,Indian,63.13,33.96
21.45,1.74,6,67,120,7,Sci-Fi/Action,Hindi,3,Indian,61.3,35.81
9.21,1.86,4,70,117,6,Animated,Hindi,2,Indian,22.64,13.97
16.34,5.32,9,71,129,6,Animated,Hindi,0,Indian,35.71,18.47
65.94,11.81,9,57,120,4,Fantasy/Adventure,Tamil,0,Indian,126.28,78.17
14.29,2.99,1,70,143,6,Animated,Others,3,Indian,36.7,20.65
53.93,5.37,9,66,127,6,Action (Masala),Telugu,1,Indian,135.75,57.64
6.09,0.5,11,40,147,3,Historical Epic,Hindi,6,Indian,8.51,14.53
34.76,9.48,2,54,139,3,Historical Epic,Others,2,Indian,54.44,48.12
27.59,5.35,9,74,113,5,Superhero,Tamil,1,Indian,77.37,62.08
39.61,19.09,7,58,141,4,Rom-Com,Telugu,2,Indian,72.67,43.2
136.72,34.81,10,60,150,5,Sci-Fi/Action,Hindi,4,Indian,424.17,221.52
445.88,125.7,2,90,125,7,Fantasy/Adventure,English,4,Hollywood,478.12,1443.72
17.69,2.27,10,69,129,8,Animated,Tamil,6,Indian,54.64,40.48
92.82,19.47,11,73,145,6,Superhero,Hindi,5,Indian,308.15,196.43
108.62,12.81,12,56,120,4,Fantasy/Adventure,Tamil,4,Indian,267.6,210.44
227.22,41.25,9,70,143,5,Fantasy/Adventure,Telugu,4,Indian,390.76,296.96
18.65,0.5,12,74,112,8,Rom-Com,Telugu,3,Indian,56.77,24.83
149.52,39.21,4,52,168,2,Thriller,English,5,Hollywood,75.23,476.82
7.4,3.49,6,72,128,7,Rom-Com,Hindi,2,Indian,24.62,9.58
180.16,59.75,11,89,168,7,Historical Epic,English,7,Hollywood,285.75,1645.18
69.59,17.34,3,64,146,5,Fantasy/Adventure,Hindi,3,Indian,128.3,98.4
19.43,5.31,4,51,163,3,Thriller,Hindi,5,Indian,26.3,30.82
29.07,11.77,3,99,147,7,Historical Epic,Hindi,0,Indian,94.34,44.98
22.52,4.34,3,60,166,6,Animated,English,0,Indian,54.59,31.49
61.01,8.13,5,76,118,7,Animated,English,4,Hollywood,143.79,505.4
1140.39,213.55,3,53,128,4,Horror/Thriller,English,6,Hollywood,381.79,5373.59
40.64,9.02,9,45,90,4,Fantasy/Adventure,English,1,Indian,61.87,57.06
102.26,27.93,10,61,122,8,Animated,Others,0,Indian,266.66,61.18
160.82,38.2,12,76,133,10,Animated,English,9,Hollywood,439.8,933.99
59.42,16.59,9,39,119,1,Thriller,Hindi,1,Indian,52.18,51.57
48.54,1.02,8,79,139,7,Fantasy/Adventure,Hindi,2,Indian,135.4,53.35
31.5,8.65,4,77,134,7,Animated,Tamil,5,Indian,69.57,55.71
56.57,8.36,3,58,143,7,Animated,Hindi,5,Indian,127.13,70.04
34.97,0.95,8,46,136,4,Superhero,Hindi,0,Indian,77.21,43.01
3.99,0.5,9,84,98,9,Rom-Com,Hindi,6,Indian,14.12,9.77
95.18,14.14,8,74,135,5,Animated,Hindi,0,Indian,174.1,47.44
87.17,10.84,2,55,134,2,Sci-Fi/Action,English,5,Hollywood,64.2,478.71
202.53,36.41,10,63,118,5,Action (Masala),English,7,Hollywood,358.17,1261.23
113.96,13.31,8,84,119,9,Superhero,English,5,Hollywood,322.65,750.58
152.58,23.39,12,77,129,8,Fantasy/Adventure,English,5,Hollywood,410.78,1041.02
390.08,89.92,12,48,101,2,Fantasy/Adventure,Telugu,3,Indian,974.21,842.84
429.79,23.78,4,41,122,1,Drama,English,5,Hollywood,156.85,763.41
6.75,0.5,6,62,132,6,Historical Epic,Hindi,1,Indian,20.62,8.2
10.54,0.5,7,50,154,5,Rom-Com,Hindi,1,Indian,17.51,12.05
246.91,38.12,3,80,134,3,Animated,English,6,Hollywood,208.31,1129.49
3.67,0.5,5,42,132,2,Thriller,Tamil,3,Indian,5.64,4.42
69.23,13.56,9,46,121,3,Action (Masala),Telugu,4,Indian,99.63,104.36
6.97,0.88,2,54,122,9,Fantasy/Adventure,Others,4,Indian,23.79,10.43
74.82,15.99,4,63,127,4,Animated,Tamil,1,Indian,109.46,83.99
20.5,7.0,1,73,103,6,Sci-Fi/Action,Tamil,6,Indian,80.49,49.01
55.01,2.86,12,63,119,6,Sci-Fi/Action,Others,2,Indian,150.38,99.84
38.04,10.37,4,63,136,5,Fantasy/Adventure,Hindi,2,Indian,98.59,60.44
46.38,8.83,7,58,126,3,Historical Epic,Hindi,4,Indian,83.05,67.19
1582.33,462.4,1,91,116,5,Thriller,English,4,Hollywood,1038.58,3025.93
33.9,6.39,12,46,147,6,Fantasy/Adventure,Hindi,0,Indian,81.71,37.8
18.02,3.59,12,43,132,3,Historical Epic,Telugu,1,Indian,33.06,23.01
52.55,10.81,2,85,115,9,Superhero,Telugu,5,Indian,201.03,128.45
102.23,18.69,6,56,120,6,Horror/Thriller,Telugu,6,Indian,154.58,78.96
18.58,1.91,12,55,92,2,Historical Epic,Telugu,0,Indian,39.1,26.86
47.9,13.49,12,60,121,5,Thriller,Hindi,7,Indian,87.5,97.11
32.69,2.95,6,29,128,2,Drama,English,0,Indian,34.81,26.44
23.2,7.14,9,53,152,6,Horror/Thriller,Hindi,1,Indian,35.67,14.64
68.17,15.96,2,47,119,4,Horror/Thriller,Telugu,5,Indian,91.08,61.97
29.26,5.24,3,45,134,2,Drama,Hindi,7,Indian,33.0,40.8
11.95,0.5,7,61,148,6,Animated,Hindi,5,Indian,26.54,16.3
31.72,7.62,5,72,186,9,Superhero,Tamil,4,Indian,110.2,90.87
19.45,4.29,8,68,143,7,Superhero,Telugu,4,Indian,70.63,47.55
72.76,11.2,1,45,119,1,Drama,Tamil,5,Indian,68.39,75.18
1782.83,166.09,10,69,111,6,Rom-Com,English,5,Hollywood,1247.4,16462.97
62.73,16.12,9,89,110,5,Historical Epic,English,8,Hollywood,113.05,702.27
28.56,10.9,10,72,151,6,Thriller,English,2,Indian,87.72,58.79
31.39,3.17,12,59,129,3,Superhero,Others,6,Indian,68.91,131.93
1138.11,197.67,9,80,144,8,Rom-Com,English,3,Hollywood,833.67,1817.96
33.12,4.37,11,61,152,2,Thriller,Others,4,Indian,47.51,35.5
33.53,9.66,8,63,163,5,Fantasy/Adventure,English,5,Indian,70.85,98.79
403.03,52.29,7,68,142,4,Drama,English,5,Hollywood,337.46,704.33
60.08,19.5,1,84,137,9,Thriller,Hindi,0,Indian,227.61,50.21
29.96,2.25,3,69,128,4,Action (Masala),Hindi,2,Indian,66.42,47.02
17.56,0.67,11,68,147,7,Action (Masala),Hindi,4,Indian,50.1,40.08
43.45,1.17,10,53,167,5,Sci-Fi/Action,Hindi,3,Indian,139.21,64.35
163.43,20.31,11,43,98,3,Fantasy/Adventure,English,7,Hollywood,213.53,897.23
78.14,20.34,12,70,144,5,Fantasy/Adventure,English,3,Hollywood,141.03,400.76
123.31,23.03,10,59,124,4,Horror/Thriller,Hindi,1,Indian,158.79,96.87
225.51,34.83,11,66,143,6,Superhero,English,5,Hollywood,454.15,1983.46
308.74,116.96,7,79,148,8,Superhero,English,6,Hollywood,1049.61,1797.04
95.9,28.16,12,44,90,1,Superhero,Hindi,0,Indian,246.83,166.06
1037.4,52.93,10,67,109,4,Drama,English,8,Hollywood,557.65,2345.35
461.55,42.02,8,69,131,8,Drama,English,5,Hollywood,333.55,2526.98
265.61,54.4,1,78,114,4,Superhero,Others,4,Indian,631.85,861.36
75.24,14.17,5,78,106,4,Historical Epic,English,4,Hollywood,147.81,751.86
5.71,0.5,4,50,162,4,Drama,Hindi,4,Indian,10.8,9.01
60.17,25.31,6,66,162,5,Rom-Com,Others,1,Indian,122.56,70.09
23.57,5.09,6,72,115,7,Thriller,Tamil,8,Indian,38.88,46.88
57.2,6.96,6,56,174,4,Superhero,English,4,Indian,145.63,170.62
20.19,6.86,5,58,118,5,Action (Masala),Hindi,1,Indian,65.66,52.34
121.73,28.91,7,69,130,4,Drama,Telugu,0,Indian,142.86,140.28
8.63,0.8,9,56,182,6,Sci-Fi/Action,Telugu,1,Indian,20.34,11.95
1501.57,402.88,8,63,129,2,Horror/Thriller,English,7,Hollywood,1403.36,10435.84
23.62,12.09,12,69,146,4,Fantasy/Adventure,Others,6,Indian,77.18,67.17
